metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer
pc1,0.3197140371799469,0.2655078712105751,0.05420616596937178,0.053861974239349394,0.054539967812597734,0.0,43.214632247646655,100,100,0
pc1,0.3619324719905853,0.2570261740684509,0.1049062979221344,0.10452768715471027,0.1052910852879286,0.0,74.19157120940486,100,100,1
pc1,0.3723167210817337,0.25933841794729234,0.11297830313444135,0.11235906676948074,0.11357637510448694,0.0,50.626737639683284,100,100,2
pc1,0.34826264411211016,0.25618893921375274,0.09207370489835742,0.09151518548280002,0.09270374955981969,0.0,41.329958276407496,100,100,3
pc1,0.32611423343420026,0.2666729989647865,0.05944123446941374,0.05883626159280537,0.06003743869066239,0.0,27.70662130636828,100,100,4
pc1,0.31907870769500735,0.2661013647913933,0.052977342903614055,0.052197311647236316,0.05381591445952653,0.0,18.31694216584476,100,100,5
pc1,0.31746997267007826,0.2686848723888397,0.04878510028123856,0.04798794305324555,0.04962984237819907,0.0,16.331090962205803,100,100,6
pc1,0.2998186331987381,0.2663801571726799,0.033438476026058206,0.03247142131626606,0.03441484175622462,0.0,9.41251968140207,100,100,7
pc1,0.2756026995182037,0.2712523365020752,0.004350363016128511,0.003280121453106399,0.005368171863257898,0.0,1.1328946598163427,100,100,8
pc1,0.2751877999305725,0.28763145238161086,-0.012443652451038345,-0.014235650517046467,-0.010756343767046882,0.0,-1.9755542194035138,100,100,9
pc1,0.2773598322272301,0.3421801367402077,-0.0648203045129776,-0.06792466584593056,-0.06194034152477977,0.0,-5.554412598125907,100,100,10
pc1,0.3250111922621727,0.4271365875005722,-0.10212539523839953,-0.10907735489308831,-0.09554004171490668,0.0,-4.22105617252397,100,100,11
pc2,0.18713012516498564,0.21650251522660255,-0.029372390061616904,-0.029644375421106837,-0.029123230725526795,0.0,-33.43824539592907,100,100,0
pc2,0.18310501098632812,0.2212355089187622,-0.03813049793243409,-0.03845501881465318,-0.03778768099844458,0.0,-32.087899107704956,100,100,1
pc2,0.1885685533285141,0.2235821683704853,-0.0350136150419712,-0.035409522488713284,-0.034625933825969686,0.0,-24.134710430831174,100,100,2
pc2,0.2003610260784626,0.2154197897017002,-0.015058763623237603,-0.015573735386133186,-0.014554408915340898,0.0,-7.969119096986551,100,100,3
pc2,0.20475905820727347,0.21861900970339776,-0.01385995149612429,-0.014583108413964508,-0.01316277707368136,0.0,-5.626896572221407,100,100,4
