layer,G
0,0.9553918560345968
1,0.9429962250921461
2,0.9287243644396465
3,0.8832597613334656
4,0.9081761280695597
5,0.9005863348642985
6,0.8892857710520427
7,0.8904783897929721
8,0.8633901940451728
9,0.8360920866330465
10,0.824455451965332
11,0.9402656767103407
