layer,neuron_idx,score
0,2608,0.8401079773902893
0,2421,-0.837846040725708
0,511,0.8183857202529907
0,1472,0.8159199357032776
0,2428,0.8149642944335938
0,2568,0.812602698802948
0,445,0.8061085343360901
0,1043,-0.805290699005127
0,208,-0.8049441576004028
0,559,0.7853902578353882
0,584,0.779011070728302
0,2399,0.7760654091835022
0,321,0.7757205367088318
0,1078,0.7741849422454834
0,2970,0.7685325741767883
0,2432,-0.7680748105049133
0,371,0.7678580284118652
0,1300,0.7672615051269531
0,2833,0.7638760209083557
0,2446,-0.7634954452514648
0,187,0.7598046064376831
0,2637,-0.7584365606307983
0,1527,0.7561019062995911
0,43,-0.756032407283783
0,1041,0.7550081610679626
0,1036,-0.7459831237792969
0,1026,0.745092511177063
0,1609,0.7435049414634705
0,2009,0.7433901429176331
0,2457,0.7425618767738342
0,2176,-0.7410660982131958
0,1454,-0.7410213351249695
0,555,0.7403239011764526
0,331,0.7392670512199402
0,2510,0.738210916519165
0,2110,-0.7326774001121521
0,1177,-0.7317527532577515
0,72,0.7311950325965881
0,797,0.7305277585983276
0,2627,0.7280833721160889
0,1839,-0.7270718216896057
0,1558,0.7267206907272339
0,2888,-0.7264586091041565
0,2889,0.7258821129798889
0,949,0.724097728729248
0,1870,0.7229546308517456
0,1484,0.7225731611251831
0,2454,0.7224922180175781
0,1227,-0.7203837633132935
0,74,-0.7196907997131348
1,1786,0.9080973863601685
1,2566,0.8916160464286804
1,1216,0.8725464344024658
1,689,0.8631080389022827
1,2561,0.8572723865509033
1,536,0.8506309986114502
1,70,0.8499374985694885
1,649,-0.8468183875083923
1,283,0.8428289294242859
1,2364,0.8368238806724548
1,2327,0.83670574426651
1,852,-0.833355724811554
1,2778,0.8285703659057617
1,2187,-0.8262941837310791
1,706,-0.8251006007194519
1,1249,0.8248170614242554
1,2257,-0.8239170908927917
1,2116,-0.8205080628395081
1,777,0.819722592830658
1,717,0.8170457482337952
1,1674,0.8144453763961792
1,2333,0.8120137453079224
1,2343,0.8100624680519104
1,1442,0.8092473745346069
1,1243,0.8076000213623047
1,2982,0.8035759925842285
1,1980,-0.8015308380126953
1,844,0.7997019290924072
1,1871,0.7984806299209595
1,328,0.7968161702156067
1,1881,0.7960954308509827
1,2867,-0.7952944040298462
1,206,-0.7924429774284363
1,1031,-0.7907556295394897
1,557,-0.790530264377594
1,2467,0.7889796495437622
1,784,0.7888603210449219
1,1045,0.7883519530296326
1,369,0.7855135798454285
1,1891,0.7801163792610168
1,2330,-0.7775569558143616
1,1105,0.7772437930107117
1,1486,-0.7759923338890076
1,2347,-0.7757577896118164
1,2653,0.7744520306587219
1,2485,-0.7731457948684692
1,1202,-0.7724679112434387
