metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer,q_value
G,0.9636914505528079,0.9786867365614762,-0.014995286008668285,-0.017108627199440708,-0.013043759477410589,0.0,-2.045618061657355,100,100,0,0.0
G,0.9547094883057806,0.9502941990456882,0.004415289260092381,0.002127408467919076,0.006705513730113054,0.0,0.5383241904200756,100,100,1,0.0
G,0.9435438769975352,0.9402685671079726,0.0032753098895625943,0.0007944147178222283,0.00585470376544532,0.006,0.3347931948548725,100,100,2,0.006545454545454546
G,0.9057610821038011,0.9114519413818444,-0.005690859278043248,-0.009523622453768362,-0.0020411897913567593,0.0,-0.40125615193511244,100,100,3,0.0
G,0.9232147953548129,0.9106777969471047,0.012536998407708166,0.008817714362674273,0.0162705062961296,0.0,0.9356308777637371,100,100,4,0.0
G,0.9124016221875237,0.9041154837660375,0.008286138421486289,0.0039520824235821156,0.012541994904040812,0.0,0.5496938491723327,100,100,5,0.0
G,0.8790847516580232,0.8905473077803377,-0.011462556122314504,-0.01591374410515061,-0.006972145490573218,0.0,-0.708459088834813,100,100,6,0.0
G,0.8643655448144391,0.8904337944714795,-0.026068249657040465,-0.031746682730447194,-0.02030579722697532,0.0,-1.292215165992883,100,100,7,0.0
G,0.8375138412217299,0.8800283269844358,-0.04251448576270589,-0.04814844364716636,-0.037316352972506184,0.0,-2.1386387779244784,100,100,8,0.0
G,0.7568053653065171,0.8367075453939894,-0.0799021800874723,-0.08776165368121788,-0.07190436819318742,0.0,-2.7216126190108425,100,100,9,0.0
G,0.7514004601126624,0.7561779738413908,-0.0047775137287284775,-0.016688034771950428,0.007437823791222488,0.488,-0.1113405911094183,100,100,10,0.488
G,0.6586621132850174,0.8373292686504032,-0.1786671553653858,-0.18735190283081352,-0.17000033242346835,0.0,-5.538913762010345,100,100,11,0.0
