layer,neuron_idx,score
0,2421,-0.8520891666412354
0,2608,0.8343123197555542
0,1078,0.8067592978477478
0,2568,0.8019613027572632
0,445,0.8000264763832092
0,1472,0.7987651824951172
0,2399,0.7957183718681335
0,1043,-0.7933188676834106
0,511,0.7784481644630432
0,43,-0.776623010635376
0,371,0.7724629640579224
0,1036,-0.7701027393341064
0,584,0.7643493413925171
0,208,-0.7610985040664673
0,2110,-0.7601073384284973
0,2510,0.7600079774856567
0,1026,0.7559915781021118
0,2428,0.7523977756500244
0,797,0.7510908842086792
0,1609,0.7504286170005798
0,2833,0.7501295804977417
0,2454,0.7499095797538757
0,907,0.7497912049293518
0,1527,0.7490333318710327
0,187,0.7474685311317444
0,2888,-0.7471475601196289
0,2432,-0.7453150153160095
0,2457,0.7448635101318359
0,321,0.7413724064826965
0,539,-0.7384680509567261
0,74,-0.7371984124183655
0,2062,0.7353004813194275
0,2009,0.7352094650268555
0,2205,0.7329670786857605
0,555,0.7327189445495605
0,1948,-0.7323114275932312
0,1484,0.7322791218757629
0,331,0.7314894795417786
0,559,0.7293280363082886
0,72,0.7288840413093567
0,1300,0.7286673188209534
0,1177,-0.7255390882492065
0,1950,0.7214243412017822
0,1454,-0.7211707234382629
0,2095,0.7177329659461975
0,1703,0.7162206768989563
0,2446,-0.7154532670974731
0,763,0.7152853608131409
0,1227,-0.7137994766235352
0,1863,0.7124761343002319
1,1786,0.8938707709312439
1,2566,0.8762520551681519
1,536,0.8610324263572693
1,2327,0.8434641361236572
1,2257,-0.8357377648353577
1,1216,0.833281934261322
1,844,0.8234806656837463
1,1674,0.8215115070343018
1,2561,0.8204066157341003
1,283,0.8116577863693237
1,2116,-0.8086960911750793
1,689,0.8068418502807617
1,70,0.8037035465240479
1,2364,0.8026811480522156
1,852,-0.8000942468643188
1,649,-0.7972504496574402
1,1754,-0.7889816164970398
1,2778,0.7858794927597046
1,1980,-0.7851219177246094
1,777,0.7838314771652222
1,930,0.7830521464347839
1,557,-0.7817560434341431
1,2343,0.7760618925094604
1,1255,0.7757055759429932
1,1929,0.7754209041595459
1,328,0.774864912033081
1,1202,-0.7743059396743774
1,1249,0.7741358280181885
1,1871,0.7707023620605469
1,706,-0.7696470618247986
1,717,0.7695678472518921
1,660,-0.7652969360351562
1,2439,0.7636682987213135
1,1442,0.7627221345901489
1,2175,-0.7606276273727417
1,2187,-0.7574355006217957
1,1818,-0.7573058605194092
1,998,0.7552415132522583
1,1881,0.754380464553833
