layer,G
0,0.9631788982285394
1,0.9538452943166097
2,0.9423251655366686
3,0.9037010510762532
4,0.9215333527988858
5,0.910545547803243
6,0.8764312134848701
7,0.8601960168944465
8,0.8334250370661418
9,0.7532174640231662
10,0.7442192236582438
11,0.6496601750453314
