layer,G
0,0.9914792511198256
1,0.9885156803660923
2,0.973242281542884
3,0.9633026864793566
4,0.9488804976145426
5,0.9463504076004028
6,0.9399892502360874
7,0.9223912477493286
8,0.9026929060618083
9,0.8797778460714553
10,0.841345563199785
11,0.7818697055180868
