layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
1,2,5,,0.8298196792602539,"[[ 0.9828166   0.18293506  0.01012323 -0.00482486 -0.0219216 ]
 [-0.17717268  0.9635979  -0.11697254 -0.14383978  0.07560788]
 [-0.03708619  0.15873006  0.91608816  0.36632413  0.00431904]
 [ 0.00819597 -0.08929805  0.38337618 -0.91922724  0.00162084]
 [-0.03519707  0.06960295 -0.00450193 -0.01071075 -0.99688596]]",1
2,3,5,,0.7673089504241943,"[[ 0.9970973   0.05795816 -0.02402726 -0.02865865  0.03223377]
 [-0.05528672  0.99505365 -0.0302873   0.04169843 -0.06446333]
 [ 0.02183805  0.03203364  0.9989939  -0.02129562 -0.00739927]
 [ 0.03014846 -0.03703012  0.0220798   0.99790436  0.03767326]
 [ 0.03680128 -0.06412251 -0.0054001   0.03425445 -0.9966601 ]]",1
3,4,5,,0.7460667490959167,"[[ 0.992988    0.10185269 -0.01258477 -0.05349429 -0.02410417]
 [-0.1019652   0.9942457  -0.02793787  0.01232418 -0.01208492]
 [ 0.02519951  0.02606714  0.9571946   0.28692558  0.01173549]
 [ 0.04845411 -0.01543033 -0.28685695  0.95576674 -0.04046145]
 [-0.02439819 -0.01355716  0.0235102  -0.03420686 -0.99874824]]",1
4,5,5,,0.6998803019523621,"[[ 0.9962597   0.05541652  0.0092699  -0.03627827 -0.05471471]
 [-0.0529424   0.99337876 -0.09482798  0.03744015  0.00124109]
 [-0.01627252  0.09447225  0.9950087  -0.0085702  -0.02635101]
 [ 0.03606145 -0.03454959  0.01145604  0.9979585  -0.0381261 ]
 [ 0.05566518  0.00297912  0.02735158  0.03588336  0.9974251 ]]",1
5,6,5,,0.7049170732498169,"[[ 0.9923016  -0.11565226  0.01719816 -0.0383014   0.01412713]
 [ 0.11633953  0.99248374  0.02247311  0.0298386   0.00675837]
 [-0.01645605 -0.02353076  0.9949953   0.09518107  0.01001353]
 [ 0.03618258 -0.03202792 -0.09534779  0.9942387   0.00795792]
 [ 0.01493085  0.00458419  0.00960146  0.00852747 -0.9997955 ]]",1
6,7,5,,0.6918461322784424,"[[ 0.9984866  -0.03650204 -0.02573502 -0.03207017  0.00123209]
 [ 0.0337348   0.9962586  -0.06970781 -0.02662156  0.02761986]
 [ 0.03458282  0.07293051  0.9739238   0.21175955 -0.0107467 ]
 [ 0.02613353  0.00921377 -0.21337846  0.9758456   0.03777877]
 [-0.00278083 -0.02706715  0.02050838 -0.03385479  0.99884576]]",1
7,8,5,,0.784122109413147,"[[ 0.9984539  -0.01521834 -0.03766963  0.02955603  0.02378154]
 [ 0.01452505  0.9986063   0.01667691  0.04777254 -0.00375087]
 [ 0.04095121 -0.01008765  0.98832595 -0.14503148  0.01997532]
 [ 0.02476566  0.04928099 -0.14526121 -0.98779714 -0.01067891]
 [-0.02425708  0.00483801 -0.02034609 -0.00817973  0.9994535 ]]",1
8,9,5,,0.7662245035171509,"[[ 0.99831563 -0.04645067  0.00844232  0.03329163 -0.00534783]
 [ 0.04545979  0.99851817 -0.00109795  0.02957032 -0.00438167]
 [-0.00226665  0.00629993  0.9852445  -0.1676847   0.03362012]
 [-0.03580707 -0.02754895  0.16939704  0.9826629  -0.06030874]
 [ 0.00346313  0.00225896 -0.0229228   0.06536591  0.99758947]]",1
9,10,5,,1.4235445261001587,"[[ 0.99566996  0.02984464 -0.01986354 -0.03294822  0.07918691]
 [-0.03432722  0.99717575 -0.05325187 -0.00623429  0.03984291]
 [ 0.01715309  0.05436506  0.984061   -0.1590422  -0.05549577]
 [ 0.02489297  0.01051182  0.16431855  0.9773097   0.13090117]
 [ 0.08092693  0.04103272 -0.037324    0.13581967 -0.9858636 ]]",1
10,11,5,,1.0519391298294067,"[[ 0.9513561  -0.29133174  0.00273229 -0.07323123  0.06838938]
 [ 0.28185314  0.9536082  -0.02244372 -0.09510938  0.0405032 ]
 [ 0.00389686  0.01962856  0.9956163  -0.05699939 -0.07140478]
 [ 0.06384381  0.06018531  0.07724395  0.9266118   0.3573874 ]
 [-0.10671992 -0.04182698  0.04764689 -0.35175723  0.9278243 ]]",1
