metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer,level_from,level_to,q_value
G,0.9745851019691854,0.9733889626354453,0.001196139333740076,0.000602974605796483,0.0018398654703111722,0.002,0.49644232042903236,100,100,0,1,2,0.00222680412371134
G,0.9854849293870588,0.9749882493880061,0.010496679999052683,0.009940148491766674,0.011013987552907018,0.0,5.287522425414819,100,100,0,2,3,0.0
G,0.9825035568191892,0.9746878443497513,0.007815712469437908,0.007083078797267908,0.008517722791161222,0.0,3.005824478969689,100,100,0,3,4,0.0
G,0.9533600388571384,0.9737121636385011,-0.020352124781362724,-0.021143540657204873,-0.019527751591245555,0.0,-6.953132388686024,100,100,0,4,5,0.0
G,0.9156005118035135,0.962845190660821,-0.04724467885730743,-0.04822545232279663,-0.046297354118383996,0.0,-13.478167047126744,100,100,0,5,6,0.0
G,0.9686949501184244,0.929793108180875,0.03890184193754942,0.03770116529824231,0.0400611932067169,0.0,8.926565546055134,100,100,0,6,7,0.0
G,0.963854619976547,0.9434845182649673,0.020370101711579713,0.019282075781268927,0.021454067800146744,0.0,5.52280435614194,100,100,0,7,8,0.0
G,0.9755850697221262,0.9744426637623046,0.001142405959821624,0.0002177165568349793,0.0021125106719633107,0.018,0.33034094812450576,100,100,0,8,9,0.019636363636363636
G,0.9544546690460236,0.9681428210706937,-0.013688152024670108,-0.014733519915207743,-0.012635714930804643,0.0,-3.5568313859137084,100,100,0,9,10,0.0
G,0.9398030735074525,0.9212274377653523,0.018575635742100194,0.01710803395857421,0.020064801644876805,0.0,3.384517583860438,100,100,1,1,2,0.0
G,0.9598793966789093,0.9282214800464728,0.031657916632436556,0.03040275964682538,0.03290360636870785,0.0,7.163584415813926,100,100,1,2,3,0.0
G,0.9540278626448578,0.9301846678644893,0.02384319478036856,0.022214173859760152,0.025460081440789994,0.0,4.222534237594743,100,100,1,3,4,0.0
G,0.9421397230918445,0.9364048778036284,0.005734845288216106,0.0041866778474003215,0.0072333163021693235,0.0,1.0332138329605356,100,100,1,4,5,0.0
G,0.8987150129850896,0.9342506738536888,-0.03553566086859916,-0.036615037751434265,-0.03446356281104755,0.0,-8.984616010871115,100,100,1,5,6,0.0
G,0.9078472822814707,0.9219818028282551,-0.014134520546784435,-0.015600851797679066,-0.012546074794930464,0.0,-2.5056662646723056,100,100,1,6,7,0.0
G,0.9280620236226491,0.9417081403140984,-0.013646116691449328,-0.014512651175154084,-0.012780830191359904,0.0,-4.208138557762869,100,100,1,7,8,0.0
G,0.9337821653376496,0.926695245276841,0.007086920060808577,0.005246121899298978,0.008933029723900657,0.0,1.0398254554225046,100,100,1,8,9,0.0
G,0.9484025207753219,0.9315929296702619,0.016809591105060084,0.015537906789188313,0.018099661164163134,0.0,3.5915456546761666,100,100,1,9,10,0.0
G,0.9227613415505204,0.9075045049900102,0.015256836560510134,0.013804865614987175,0.01677649646997442,0.0,2.855154511083507,100,100,2,1,2,0.0
G,0.9400361475036256,0.9150180642883928,0.0250180832152328,0.02400570817085953,0.026007243525993356,0.0,6.926937949517226,100,100,2,2,3,0.0
G,0.9315136762970969,0.9206052588039921,0.010908417493104783,0.009582796034441473,0.012253662189474648,0.0,2.1533211611493175,100,100,2,3,4,0.0
G,0.9342681116504328,0.928294989053692,0.005973122596740765,0.0047771096519060975,0.007210954637683755,0.0,1.3118718651872567,100,100,2,4,5,0.0
G,0.9059137953259642,0.921958934797181,-0.016045139471216885,-0.016998415327213908,-0.015059650072301764,0.0,-4.420815233096283,100,100,2,5,6,0.0
G,0.8902047802110513,0.9051506157134258,-0.014945835502374494,-0.016376216439890845,-0.01345903299175335,0.0,-2.702901168564895,100,100,2,6,7,0.0
G,0.9145137651255207,0.9204590582918555,-0.005945293166334742,-0.007167858086916582,-0.004751606437670192,0.0,-1.3719474926248494,100,100,2,7,8,0.0
G,0.9252764124037727,0.918399969315718,0.0068764430880546845,0.005141488057753313,0.008448638198347387,0.0,1.172769408428696,100,100,2,8,9,0.0
G,0.9356707083563957,0.9127559498548508,0.022914758501544896,0.021087596550465607,0.024685487504682017,0.0,3.6916080638683324,100,100,2,9,10,0.0
G,0.9094257907375457,0.8888444621283856,0.020581328609160066,0.01913669882359952,0.02206277364506613,0.0,3.8411612930026116,100,100,3,1,2,0.0
G,0.9326063388089341,0.8970460617182748,0.03556027709065923,0.03466915136397116,0.036546766179622533,0.0,10.520073336616239,100,100,3,2,3,0.0
G,0.9269225448729499,0.9072563267927322,0.019666218080217734,0.01819207683200883,0.02094369614507447,0.0,3.9259450027875085,100,100,3,3,4,0.0
G,0.889901647342103,0.9182186809513305,-0.02831703360922755,-0.029763141896504926,-0.026751738887788666,0.0,-5.523785276372626,100,100,3,4,5,0.0
G,0.8422142597261876,0.91693500381377,-0.07472074408758245,-0.07617503649996865,-0.07328010194249567,0.0,-14.130697928972946,100,100,3,5,6,0.0
G,0.8911963486732943,0.867979000560348,0.02321734811294629,0.021726024222917934,0.024691586716461437,0.0,4.160837063829835,100,100,3,6,7,0.0
G,0.9056854484502286,0.8765497619348858,0.029135686515342818,0.02775381361953349,0.03062843212982016,0.0,5.439070771771702,100,100,3,7,8,0.0
G,0.9197979728764012,0.9144886410482346,0.005309331828166619,0.0036164902004575477,0.007140700453188492,0.0,0.8505759677470266,100,100,3,8,9,0.0
G,0.8726624705152851,0.8746857888059957,-0.002023318290710563,-0.004232724660433784,0.00039323447388085714,0.096,-0.22889467389050944,100,100,3,9,10,0.10368000000000001
G,0.9133049236909738,0.8857505690199988,0.027554354670975,0.026029168422638457,0.029036525818315232,0.0,4.985977507262467,100,100,4,1,2,0.0
G,0.9283131939480229,0.8942539429148986,0.03405925103312435,0.03296796248407318,0.03503505861724894,0.0,9.002185227227605,100,100,4,2,3,0.0
G,0.9174648910160106,0.9011954703037699,0.01626942071224069,0.014974194076799322,0.017595639541520297,0.0,3.3500440278745187,100,100,4,3,4,0.0
G,0.8963562602698802,0.9191148529440638,-0.022758592674183564,-0.02404700716116592,-0.02135138914302475,0.0,-4.770372160072229,100,100,4,4,5,0.0
G,0.8652776894616703,0.9216760000056692,-0.05639831054399891,-0.057777872910752585,-0.05505312888409397,0.0,-12.02189956276873,100,100,4,5,6,0.0
G,0.8868871973823933,0.8874270275277751,-0.0005398301453818366,-0.0019153274058349933,0.000846697432571522,0.444,-0.11137591227505021,100,100,4,6,7,0.46107692307692305
G,0.9060938506765026,0.8952884243073919,0.010805426369110749,0.009561049332351731,0.012089427993245647,0.0,2.2824915104099452,100,100,4,7,8,0.0
G,0.9171755115309407,0.9095073115466132,0.0076681999843274395,0.005766525836170688,0.009579043623414668,0.0,1.0132816903215998,100,100,4,8,9,0.0
G,0.8969450375395164,0.8795376370615429,0.01740740047797351,0.015081706196377411,0.019832056822296495,0.0,2.0172473271292297,100,100,4,9,10,0.0
G,0.9079577975944868,0.8633373378467938,0.04462045974769302,0.042871872369660946,0.04640458319536036,0.0,6.857976951552745,100,100,5,1,2,0.0
G,0.9082041792590466,0.864864790128337,0.04333938913070967,0.04181496134195765,0.04484781458076256,0.0,8.121288298480948,100,100,5,2,3,0.0
G,0.8895307758918831,0.8838950480620066,0.005635727829876536,0.004001889424014482,0.007392827533776894,0.0,0.9127398087563025,100,100,5,3,4,0.0
G,0.8897269755776912,0.9078885719066574,-0.01816159632896619,-0.019514180799668247,-0.01683505120120169,0.0,-3.841607390717163,100,100,5,4,5,0.0
G,0.8639675472411844,0.9084460419785408,-0.04447849473735643,-0.04593435025069697,-0.04310930100887519,0.0,-8.492846770319144,100,100,5,5,6,0.0
G,0.8831403410756399,0.8743693385767557,0.008771002498884184,0.007116942300162826,0.010402198741372153,0.0,1.502332392114233,100,100,5,6,7,0.0
G,0.9177660126775976,0.8604296631846163,0.057336349492981276,0.05489862095416786,0.05996707148181786,0.0,6.028281117017925,100,100,5,7,8,0.0
