2025-12-29 13:56:25,769 INFO src.capture: Last decoded tokens: [' experience', ' was', ' horrible']
2025-12-29 13:56:25,800 INFO src.capture: Last token ids: [1998, 373, 35483]
2025-12-29 13:56:25,800 INFO src.capture: Last decoded tokens: [' experience', ' was', ' dreadful']
2025-12-29 13:58:06,143 INFO src.capture: Last token ids: [450, 893, 7617]
2025-12-29 13:58:06,143 INFO src.capture: Last decoded tokens: [' ab', 'ys', 'mal']
2025-12-29 13:58:07,563 INFO src.capture: Last token ids: [373, 38324, 4680]
2025-12-29 13:58:07,563 INFO src.capture: Last decoded tokens: [' was', ' atro', 'cious']
2025-12-29 13:58:07,677 INFO src.capture: Last token ids: [1998, 373, 12659]
2025-12-29 13:58:07,677 INFO src.capture: Last decoded tokens: [' experience', ' was', ' awful']
2025-12-29 13:58:07,791 INFO src.capture: Last token ids: [1998, 373, 7818]
2025-12-29 13:58:07,791 INFO src.capture: Last decoded tokens: [' experience', ' was', ' terrible']
2025-12-29 13:58:07,820 INFO src.capture: Last token ids: [1998, 373, 12361]
2025-12-29 13:58:07,820 INFO src.capture: Last decoded tokens: [' experience', ' was', ' horrible']
2025-12-29 13:58:07,850 INFO src.capture: Last token ids: [1998, 373, 35483]
2025-12-29 13:58:07,851 INFO src.capture: Last decoded tokens: [' experience', ' was', ' dreadful']
2025-12-29 14:01:50,097 INFO src.capture: Last token ids: [450, 893, 7617]
2025-12-29 14:01:50,097 INFO src.capture: Last decoded tokens: [' ab', 'ys', 'mal']
2025-12-29 14:01:51,492 INFO src.capture: Last token ids: [373, 38324, 4680]
2025-12-29 14:01:51,492 INFO src.capture: Last decoded tokens: [' was', ' atro', 'cious']
2025-12-29 14:01:51,605 INFO src.capture: Last token ids: [1998, 373, 12659]
2025-12-29 14:01:51,605 INFO src.capture: Last decoded tokens: [' experience', ' was', ' awful']
2025-12-29 14:01:51,718 INFO src.capture: Last token ids: [1998, 373, 7818]
2025-12-29 14:01:51,718 INFO src.capture: Last decoded tokens: [' experience', ' was', ' terrible']
2025-12-29 14:01:51,747 INFO src.capture: Last token ids: [1998, 373, 12361]
2025-12-29 14:01:51,747 INFO src.capture: Last decoded tokens: [' experience', ' was', ' horrible']
2025-12-29 14:01:51,778 INFO src.capture: Last token ids: [1998, 373, 35483]
2025-12-29 14:01:51,778 INFO src.capture: Last decoded tokens: [' experience', ' was', ' dreadful']
2025-12-29 14:01:59,060 INFO src.capture: Last token ids: [450, 893, 7617]
2025-12-29 14:01:59,060 INFO src.capture: Last decoded tokens: [' ab', 'ys', 'mal']
2025-12-29 14:01:59,933 INFO src.capture: Last token ids: [373, 38324, 4680]
2025-12-29 14:01:59,933 INFO src.capture: Last decoded tokens: [' was', ' atro', 'cious']
2025-12-29 14:02:00,049 INFO src.capture: Last token ids: [1998, 373, 12659]
2025-12-29 14:02:00,049 INFO src.capture: Last decoded tokens: [' experience', ' was', ' awful']
2025-12-29 14:02:00,159 INFO src.capture: Last token ids: [1998, 373, 7818]
