layer,G
0,0.9915821300612555
1,0.9892832226223416
2,0.9763333823945787
3,0.9645079016685486
4,0.9526264071464539
5,0.9460559513833787
6,0.9437874105241564
7,0.9316620667775471
8,0.9228265060318841
9,0.9147972186406453
10,0.9003088818656073
11,0.8649528039826287
