layer,G
0,0.9919970101780362
1,0.9904371764924791
2,0.9805096401108636
3,0.9658059239387512
4,0.9488089164098104
5,0.9422988401518928
6,0.9306135720676846
7,0.9266608887248569
8,0.9175172434912787
9,0.9065019832717047
10,0.8954834514194064
11,0.8650113039546543
