layer,G
0,0.9633848243289523
1,0.9208176811536153
2,0.9128220266766018
3,0.8715201218922933
4,0.8836904287338256
5,0.8718477951155769
6,0.8664353595839607
7,0.8545454767015245
8,0.8203039897812737
9,0.8024408393436008
10,0.7754179888301426
11,0.8042614433500502
