metric,mean_sent,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_sent,n_null,layer_from,layer_to
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,0,1
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,1,2
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,2,3
k_used,6.33,6.0,0.33000000000000007,0.2400000000000002,0.4299999999999997,0.0,0.9875342427465569,100,100,3,4
k_used,6.9,6.0,0.9000000000000004,0.8399999999999999,0.9500000000000002,0.0,4.221374183841088,100,100,4,5
k_used,6.98,6.0,0.9800000000000004,0.9500000000000002,1.0,0.0,9.849873095629206,100,100,5,6
k_used,7.0,6.02,0.9800000000000004,0.9500000000000002,1.0,0.0,9.849873095629206,100,100,6,7
k_used,7.18,6.58,0.5999999999999996,0.4800000000000004,0.7199999999999998,0.0,1.3498466170534154,100,100,7,8
k_used,7.7,6.84,0.8600000000000003,0.7400000000000002,0.9799999999999995,0.0,2.0620513449303153,100,100,8,9
k_used,8.29,7.33,0.9599999999999991,0.8199999999999994,1.1000000000000005,0.0,1.8607949577432763,100,100,9,10
k_used,9.49,7.62,1.87,1.6400000000000006,2.09,0.0,2.268466398104919,100,100,10,11
variance_threshold,0.9000000000000005,0.9000000000000005,0.0,0.0,0.0,2.0,0.0,100,100,0,1
variance_threshold,0.9000000000000005,0.9000000000000005,0.0,0.0,0.0,2.0,0.0,100,100,1,2
variance_threshold,0.9000000000000005,0.9000000000000005,0.0,0.0,0.0,2.0,0.0,100,100,2,3
variance_threshold,0.9000000000000005,0.9000000000000005,0.0,0.0,0.0,2.0,0.0,100,100,3,4
variance_threshold,0.9000000000000005,0.9000000000000005,0.0,0.0,0.0,2.0,0.0,100,100,4,5
variance_threshold,0.9000000000000005,0.9000000000000005,0.0,0.0,0.0,2.0,0.0,100,100,5,6
variance_threshold,0.9000000000000005,0.9000000000000005,0.0,0.0,0.0,2.0,0.0,100,100,6,7
variance_threshold,0.9000000000000005,0.9000000000000005,0.0,0.0,0.0,2.0,0.0,100,100,7,8
