,layer,level_from,level_to,G,left_out
121,1,5,6,0.987154988778962,sentence.10
122,1,6,7,0.9857263465722402,sentence.10
123,1,7,8,0.9889692150884204,sentence.10
124,1,8,9,0.9854197949171066,sentence.10
125,1,9,10,0.9854127864042918,sentence.10
126,2,1,2,0.9640375243292915,sentence.10
127,2,2,3,0.9741010417540868,sentence.10
128,2,3,4,0.9751370665099885,sentence.10
129,2,4,5,0.9812830719682906,sentence.10
130,2,5,6,0.974510606792238,sentence.10
131,2,6,7,0.973348500000106,sentence.10
132,2,7,8,0.9762306958436966,sentence.10
133,2,8,9,0.9652930183543099,sentence.10
134,2,9,10,0.9716825236876806,sentence.10
135,3,1,2,0.9306471827957365,sentence.10
136,3,2,3,0.96205392645465,sentence.10
137,3,3,4,0.9560910794470046,sentence.10
138,3,4,5,0.9649155487616857,sentence.10
139,3,5,6,0.9523054278559155,sentence.10
140,3,6,7,0.9577439212136798,sentence.10
141,3,7,8,0.959641714890798,sentence.10
142,3,8,9,0.9486628870169321,sentence.10
143,3,9,10,0.956715519229571,sentence.10
144,4,1,2,0.9111197623941634,sentence.10
145,4,2,3,0.9520880464050505,sentence.10
146,4,3,4,0.9426712973250283,sentence.10
147,4,4,5,0.957616099052959,sentence.10
148,4,5,6,0.9414876831902398,sentence.10
149,4,6,7,0.9484527475304074,sentence.10
150,4,7,8,0.9464596609274546,sentence.10
151,4,8,9,0.9392223027017381,sentence.10
152,4,9,10,0.945441957977083,sentence.10
153,5,1,2,0.8988953762584262,sentence.10
154,5,2,3,0.9461297161049314,sentence.10
155,5,3,4,0.9335603151056502,sentence.10
156,5,4,5,0.9505999452537961,sentence.10
157,5,5,6,0.9320409893989563,sentence.10
158,5,6,7,0.9384766187932756,sentence.10
159,5,7,8,0.9327533377541436,sentence.10
160,5,8,9,0.9231156938605838,sentence.10
161,5,9,10,0.9324579454130597,sentence.10
162,6,1,2,0.8898442486921946,sentence.10
163,6,2,3,0.9319432394372092,sentence.10
164,6,3,4,0.9327390922440423,sentence.10
165,6,4,5,0.9427268140845828,sentence.10
166,6,5,6,0.9182730515797933,sentence.10
167,6,6,7,0.929516077041626,sentence.10
168,6,7,8,0.9219758709271749,sentence.10
169,6,8,9,0.9153730952077441,sentence.10
170,6,9,10,0.9248566544718213,sentence.10
171,7,1,2,0.8738468024465773,sentence.10
172,7,2,3,0.9116309069924884,sentence.10
173,7,3,4,0.9148418406645457,sentence.10
174,7,4,5,0.927954817811648,sentence.10
175,7,5,6,0.9069843822055392,sentence.10
176,7,6,7,0.9172177977032132,sentence.10
177,7,7,8,0.9122905996110704,sentence.10
178,7,8,9,0.8974166264136633,sentence.10
179,7,9,10,0.9126312401559618,sentence.10
180,8,1,2,0.8575505995088153,sentence.10
181,8,2,3,0.8885736581352022,sentence.10
182,8,3,4,0.8990604016515944,sentence.10
183,8,4,5,0.9053491238090727,sentence.10
184,8,5,6,0.8904200808869468,sentence.10
185,8,6,7,0.8972027765380012,sentence.10
186,8,7,8,0.8906610409418741,sentence.10
187,8,8,9,0.876792730556594,sentence.10
188,8,9,10,0.8932708270019956,sentence.10
189,9,1,2,0.8249045544200473,sentence.10
190,9,2,3,0.8585085736380683,sentence.10
191,9,3,4,0.8816885915067461,sentence.10
192,9,4,5,0.8855379256937239,sentence.10
193,9,5,6,0.8702443208959367,sentence.10
194,9,6,7,0.8795292642381456,sentence.10
195,9,7,8,0.8705871684683694,sentence.10
196,9,8,9,0.8587417271402147,sentence.10
197,9,9,10,0.8717428313361274,sentence.10
198,10,1,2,0.7917587045166228,sentence.10
199,10,2,3,0.8130925016270744,sentence.10
200,10,3,4,0.8483230272928873,sentence.10
201,10,4,5,0.8567799909247292,sentence.10
202,10,5,6,0.8444709728161494,sentence.10
203,10,6,7,0.8512085874875387,sentence.10
204,10,7,8,0.8360333343346914,sentence.10
205,10,8,9,0.8297602832317352,sentence.10
206,10,9,10,0.8393584142128626,sentence.10
207,11,1,2,0.7562008367644416,sentence.10
208,11,2,3,0.7592184924417071,sentence.10
209,11,3,4,0.8035140285889307,sentence.10
210,11,4,5,0.8032322261068556,sentence.10
211,11,5,6,0.8006373660431968,sentence.10
212,11,6,7,0.8349820391999351,sentence.10
213,11,7,8,0.7629330555597941,sentence.10
214,11,8,9,0.7896538823843002,sentence.10
215,11,9,10,0.7732193966706594,sentence.10
216,0,1,2,0.9872788886229197,sentence.2
217,0,2,3,0.9896849791208903,sentence.2
218,0,3,4,0.9904918339517381,sentence.2
219,0,4,5,0.9899243298504088,sentence.2
220,0,5,6,0.9869022948874367,sentence.2
221,0,6,7,0.9881361275911331,sentence.2
222,0,7,8,0.9899019714858797,sentence.2
223,0,8,9,0.9882145441240735,sentence.2
224,0,9,10,0.9882987522416644,sentence.2
225,1,1,2,0.9863950858513514,sentence.2
226,1,2,3,0.9893351958857642,sentence.2
227,1,3,4,0.9895890305439631,sentence.2
228,1,4,5,0.9897055857711368,sentence.2
229,1,5,6,0.9876290361086527,sentence.2
230,1,6,7,0.9863897843493356,sentence.2
231,1,7,8,0.9893656041887071,sentence.2
232,1,8,9,0.9849420371982787,sentence.2
233,1,9,10,0.9847701787948608,sentence.2
234,2,1,2,0.9704222232103348,sentence.2
235,2,2,3,0.9770270370774798,sentence.2
236,2,3,4,0.9802675545215607,sentence.2
237,2,4,5,0.9843325449360741,sentence.2
238,2,5,6,0.9773719741238488,sentence.2
239,2,6,7,0.9757495174805323,sentence.2
240,2,7,8,0.9794032325347265,sentence.2
241,2,8,9,0.9668059183491601,sentence.2
242,2,9,10,0.9729396005471548,sentence.2
243,3,1,2,0.9462892131672965,sentence.2
244,3,2,3,0.9683566408024894,sentence.2
245,3,3,4,0.9691471490595076,sentence.2
246,3,4,5,0.973325714468956,sentence.2
247,3,5,6,0.9590663032399284,sentence.2
248,3,6,7,0.9628205034467909,sentence.2
249,3,7,8,0.9668088538779153,sentence.2
250,3,8,9,0.9545696891016431,sentence.2
251,3,9,10,0.9617350714074241,sentence.2
252,4,1,2,0.9321386019388834,sentence.2
253,4,2,3,0.9593668364816241,sentence.2
254,4,3,4,0.9599234213431677,sentence.2
255,4,4,5,0.9654998150136735,sentence.2
256,4,5,6,0.9495723297198614,sentence.2
257,4,6,7,0.9548360026544995,sentence.2
258,4,7,8,0.9554399682415856,sentence.2
259,4,8,9,0.946625711189376,sentence.2
260,4,9,10,0.9518445216947131,sentence.2
261,5,1,2,0.9208915962113274,sentence.2
262,5,2,3,0.9549064851469464,sentence.2
