metric,mean_sent,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_sent,n_null,layer_from,layer_to
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,0,1
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,1,2
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,2,3
k_used,6.33,6.0,0.33000000000000007,0.2400000000000002,0.4299999999999997,0.0,0.9875342427465569,100,100,3,4
k_used,6.9,6.0,0.9000000000000004,0.8399999999999999,0.9500000000000002,0.0,4.221374183841088,100,100,4,5
k_used,6.98,6.0,0.9800000000000004,0.9500000000000002,1.0,0.0,9.849873095629206,100,100,5,6
k_used,7.0,6.02,0.9800000000000004,0.9500000000000002,1.0,0.0,9.849873095629206,100,100,6,7
k_used,7.18,6.58,0.5999999999999996,0.4800000000000004,0.7199999999999998,0.0,1.3498466170534154,100,100,7,8
k_used,7.7,6.84,0.8600000000000003,0.7400000000000002,0.9799999999999995,0.0,2.0620513449303153,100,100,8,9
k_used,8.29,7.33,0.9599999999999991,0.8199999999999994,1.1000000000000005,0.0,1.8607949577432763,100,100,9,10
k_used,9.49,7.62,1.87,1.6400000000000006,2.09,0.0,2.268466398104919,100,100,10,11
variance_threshold,0.9000000000000005,0.9000000000000005,0.0,0.0,0.0,2.0,0.0,100,100,0,1
variance_threshold,0.9000000000000005,0.9000000000000005,0.0,0.0,0.0,2.0,0.0,100,100,1,2
variance_threshold,0.9000000000000005,0.9000000000000005,0.0,0.0,0.0,2.0,0.0,100,100,2,3
variance_threshold,0.9000000000000005,0.9000000000000005,0.0,0.0,0.0,2.0,0.0,100,100,3,4
variance_threshold,0.9000000000000005,0.9000000000000005,0.0,0.0,0.0,2.0,0.0,100,100,4,5
variance_threshold,0.9000000000000005,0.9000000000000005,0.0,0.0,0.0,2.0,0.0,100,100,5,6
variance_threshold,0.9000000000000005,0.9000000000000005,0.0,0.0,0.0,2.0,0.0,100,100,6,7
variance_threshold,0.9000000000000005,0.9000000000000005,0.0,0.0,0.0,2.0,0.0,100,100,7,8
variance_threshold,0.9000000000000005,0.9000000000000005,0.0,0.0,0.0,2.0,0.0,100,100,8,9
variance_threshold,0.9000000000000005,0.9000000000000005,0.0,0.0,0.0,2.0,0.0,100,100,9,10
variance_threshold,0.9000000000000005,0.9000000000000005,0.0,0.0,0.0,2.0,0.0,100,100,10,11
residual_fro,0.8936153376102447,0.8357579845190048,0.05785735309123985,0.05647012615203862,0.05910695834457877,0.0,12.513433279280536,100,100,0,1
residual_fro,0.8993010795116425,0.8845603144168854,0.01474076509475708,0.012567889004945784,0.016777038425207228,0.0,1.9116776721720277,100,100,1,2
residual_fro,0.8342013198137284,0.8842537766695022,-0.050052456855773864,-0.052591035291552554,-0.0475885197073221,0.0,-5.493802150241378,100,100,2,3
residual_fro,0.8556833136081695,0.8271751689910889,0.028508144617080622,0.017133127465844177,0.03978218978643424,0.0,0.6871233548563263,100,100,3,4
residual_fro,0.9132164198160172,0.7897027212381363,0.12351369857788086,0.11382452848553662,0.13267251245677472,0.0,3.739378147835228,100,100,4,5
residual_fro,0.849277350306511,0.829005879163742,0.02027147114276895,0.01667523105442526,0.023840407535433757,0.0,1.510182335397684,100,100,5,6
residual_fro,0.8649418216943741,0.8618774080276489,0.003064413666725163,-0.00026765805482866184,0.00644154220819472,0.072,0.2517742439091602,100,100,6,7
residual_fro,0.9550231862068176,0.8906613570451737,0.0643618291616439,0.05806953622400752,0.07135258542001248,0.0,2.5790926375927405,100,100,7,8
residual_fro,0.9668532001972199,0.927542639374733,0.03931056082248685,0.03173202590644368,0.0476413159668445,0.0,1.408846802221152,100,100,8,9
residual_fro,1.159479979276657,1.082061008810997,0.07741897046566004,0.05714532428979868,0.0979133699834345,0.0,1.03262710097378,100,100,9,10
residual_fro,1.5565731942653656,1.413053320646286,0.14351987361907947,0.10339224889874471,0.18160930562019342,0.0,0.9983775779821307,100,100,10,11
