metric,mean_sent,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_sent,n_null,layer
total_components,90.0,90.0,0.0,0.0,0.0,2.0,,100,100,0
total_components,90.0,90.0,0.0,0.0,0.0,2.0,,100,100,1
total_components,90.0,90.0,0.0,0.0,0.0,2.0,,100,100,2
total_components,90.0,90.0,0.0,0.0,0.0,2.0,,100,100,3
total_components,90.0,90.0,0.0,0.0,0.0,2.0,,100,100,4
total_components,90.0,90.0,0.0,0.0,0.0,2.0,,100,100,5
total_components,90.0,90.0,0.0,0.0,0.0,2.0,,100,100,6
total_components,90.0,90.0,0.0,0.0,0.0,2.0,,100,100,7
total_components,90.0,90.0,0.0,0.0,0.0,2.0,,100,100,8
total_components,90.0,90.0,0.0,0.0,0.0,2.0,,100,100,9
total_components,90.0,90.0,0.0,0.0,0.0,2.0,,100,100,10
total_components,90.0,90.0,0.0,0.0,0.0,2.0,,100,100,11
pc1,0.3197140371799469,0.2655078712105751,0.05420616596937178,0.05385863725841043,0.054563389666378505,0.0,43.214632247646655,100,100,0
pc1,0.3619324719905853,0.2570261740684509,0.1049062979221344,0.10454784876853225,0.10529188178479672,0.0,74.19157120940486,100,100,1
pc1,0.3723167210817337,0.25933841794729234,0.11297830313444135,0.11229253622889517,0.11360676389187573,0.0,50.626737639683284,100,100,2
pc1,0.34826264411211016,0.25618893921375274,0.09207370489835742,0.09148809380084277,0.0926983425244689,0.0,41.329958276407496,100,100,3
pc1,0.32611423343420026,0.2666729989647865,0.05944123446941374,0.05886304052919146,0.06002961988747117,0.0,27.70662130636828,100,100,4
pc1,0.31907870769500735,0.2661013647913933,0.052977342903614055,0.0521736493781209,0.053773350521922114,0.0,18.31694216584476,100,100,5
pc1,0.31746997267007826,0.2686848723888397,0.04878510028123856,0.04797922048717736,0.049631698928773414,0.0,16.331090962205803,100,100,6
pc1,0.2998186331987381,0.2663801571726799,0.033438476026058206,0.032455021806061295,0.0344037740007043,0.0,9.41251968140207,100,100,7
pc1,0.2756026995182037,0.2712523365020752,0.004350363016128511,0.0032577877193689124,0.005430134914815405,0.0,1.1328946598163427,100,100,8
pc1,0.2751877999305725,0.28763145238161086,-0.012443652451038345,-0.01423786535114046,-0.010836595021188238,0.0,-1.9755542194035138,100,100,9
pc1,0.2773598322272301,0.3421801367402077,-0.0648203045129776,-0.06797105712443594,-0.06177818695455788,0.0,-5.554412598125907,100,100,10
pc1,0.3250111922621727,0.4271365875005722,-0.10212539523839953,-0.10854044240713118,-0.09536378247290847,0.0,-4.22105617252397,100,100,11
