metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer,q_value
G,0.963710061224207,0.9650763239519936,-0.0013662627277866157,-0.0027613060203456165,-1.7148527126341482e-06,0.05,-0.27355999870860476,100,100,0,0.05454545454545456
G,0.9213124561967357,0.920019953691297,0.001292502505438775,-0.001117044338287948,0.003610396629666229,0.282,0.14374735798610444,100,100,1,0.282
G,0.9143007984038383,0.9014602757753835,0.012840522628454809,0.010127475934085365,0.015427998480910348,0.0,1.3440353516220087,100,100,2,0.0
G,0.8740840307493059,0.8684632479685639,0.005620782780741962,0.002100925197771528,0.009200931780714313,0.004,0.4240192328062951,100,100,3,0.0048000000000000004
G,0.8858949988522227,0.8632122107238049,0.02268278812841773,0.01901094111409921,0.026304652146959817,0.0,1.7716059967495341,100,100,4,0.0
G,0.8740622910781514,0.8540553649176682,0.020006926160483163,0.016431033890623427,0.024013641844370562,0.0,1.4833694548736274,100,100,5,0.0
G,0.8684835208602368,0.831614432955072,0.036869087905164855,0.032725477454350116,0.04149257110716796,0.0,2.372285384270293,100,100,6,0.0
G,0.8564678814600384,0.8288707903089031,0.02759709115113529,0.023235358095074217,0.03207542751126346,0.0,1.643027833399183,100,100,7,0.0
G,0.8223036462730832,0.8062965667295079,0.016007079543575276,0.009437024519155022,0.022488819797857485,0.0,0.6671318443157672,100,100,8,0.0
G,0.8050706210169527,0.7580490183749842,0.04702160264196853,0.03917052101139306,0.05550312684921039,0.0,1.5238450288399397,100,100,9,0.0
G,0.7775735682745776,0.7004718392874513,0.0771017289871263,0.06396619702516688,0.08879853144671224,0.0,1.7027851344717195,100,100,10,0.0
G,0.8038447631020396,0.759735320326118,0.04410944277592155,0.024415091241020773,0.061566791900318246,0.0,0.6614054649119677,100,100,11,0.0
