layer,G
0,0.9795742498503791
1,0.9503928873274061
2,0.9306399729516771
3,0.8933791902330187
4,0.9050644755363464
5,0.892152049806383
6,0.8699516852696737
7,0.8476102630297343
8,0.8381967451837328
9,0.7792632500330607
10,0.7212920831309424
11,0.5283804796015222
