layer,G,boot_id
0,0.9891574382781982,0
1,0.9883358677228292,0
2,0.9752147850536165,0
3,0.9567955391747611,0
4,0.9323829242161342,0
5,0.9297613189333961,0
6,0.923888433547247,0
7,0.9117002260117304,0
8,0.895326242560432,0
9,0.8824108980950855,0
10,0.8699623885608855,0
11,0.8258022751126971,0
0,0.9871072669823965,1
1,0.9870132009188334,1
2,0.9726987183094025,1
3,0.949487566947937,1
4,0.9299192130565643,1
5,0.9276653031508127,1
6,0.9197006821632385,1
7,0.9095285336176554,1
8,0.892019639412562,1
9,0.8821256260077158,1
10,0.8622051676114401,1
11,0.8122945030530294,1
0,0.9881120324134827,2
1,0.987298037324633,2
2,0.9723794119698661,2
3,0.9529589357830229,2
4,0.9320254382633028,2
5,0.9283548394838969,2
6,0.921694761230832,2
7,0.910340428352356,2
8,0.8940904282388233,2
9,0.8809049526850382,2
10,0.8623208942867461,2
11,0.8087683660643441,2
0,0.9878637909889221,3
1,0.985375436147054,3
2,0.9625855565071106,3
3,0.938590959707896,3
4,0.910538117090861,3
5,0.9036929885546366,3
6,0.8951957821846008,3
7,0.8742920676867167,3
8,0.857160210609436,3
9,0.8325119415918986,3
10,0.7990975459416707,3
11,0.7280562976996104,3
0,0.9873183091481527,4
1,0.9849017222722372,4
2,0.962290104230245,4
3,0.9362335761388143,4
4,0.9117650151252746,4
5,0.9068438371022542,4
6,0.8973353902498881,4
7,0.8778092583020528,4
8,0.8594895680745442,4
9,0.8334942539532979,4
10,0.7985323707262675,4
11,0.7277852197488149,4
0,0.989455791314443,5
1,0.9858534852663676,5
2,0.9643506884574891,5
3,0.9394179264704386,5
4,0.9200253844261169,5
5,0.9136361678441366,5
6,0.9006680210431417,5
7,0.8823060115178426,5
8,0.861799148718516,5
9,0.8349625031153362,5
10,0.7922904014587402,5
11,0.7319856564203898,5
0,0.9883058468500773,6
1,0.9878897945086161,6
2,0.9732381542523701,6
3,0.9508948683738708,6
4,0.9279474337895711,6
5,0.9271503210067749,6
6,0.9205558061599731,6
7,0.9132456024487813,6
8,0.8972421884536743,6
9,0.8884761492411296,6
10,0.8773830771446228,6
11,0.8364083806673686,6
0,0.9888912439346313,7
1,0.9855833763167972,7
2,0.9640321532885233,7
3,0.940759661651793,7
4,0.9198620007151649,7
5,0.9116388275509789,7
6,0.8991315336454482,7
7,0.8779622117678324,7
8,0.8590194497789655,7
9,0.8329382027898516,7
10,0.7953164180119833,7
11,0.7403629280271984,7
0,0.9867312133312225,8
1,0.9862531900405884,8
2,0.9696383118629456,8
3,0.9482986330986023,8
4,0.9282499551773071,8
5,0.925648444890976,8
6,0.9192417621612549,8
7,0.9121410548686981,8
8,0.8964656352996826,8
9,0.886723643541336,8
10,0.8707794904708862,8
11,0.8106682360172272,8
0,0.9891621748606364,9
1,0.9880356987317404,9
2,0.972733215490977,9
3,0.9527656674385071,9
4,0.9306386947631836,9
5,0.9278056939442952,9
6,0.9218885699907938,9
7,0.9107868671417236,9
8,0.8937265197436015,9
9,0.8798194766044617,9
10,0.8580836176872253,9
11,0.7955691417058309,9
0,0.9885793044453576,10
1,0.985378969283331,10
2,0.962655124210176,10
3,0.9374320592199054,10
4,0.9145781454585847,10
5,0.9089436048553103,10
6,0.8988564241500128,10
7,0.8811220725377401,10
8,0.8619931311834426,10
9,0.8378026400293622,10
10,0.7985097765922546,10
11,0.7231920815649486,10
0,0.987567507085346,11
1,0.9857237480935597,11
2,0.9624588404382978,11
3,0.9372643572943551,11
4,0.9114466763678051,11
5,0.9059490930466425,11
6,0.8983356129555475,11
7,0.880314174152556,11
8,0.8637843415850684,11
9,0.8413981284414019,11
10,0.8083327951885405,11
11,0.7425860209124429,11
0,0.9885150087731225,12
1,0.9863087854215077,12
2,0.9670477381774357,12
3,0.9433452806302479,12
4,0.9178094289132527,12
5,0.9126180218798774,12
6,0.9036094461168561,12
7,0.884633909378733,12
8,0.8659381163971764,12
9,0.8426435036318642,12
10,0.8117556635822568,12
11,0.7498597162110465,12
0,0.9906046277000791,13
1,0.9898266111101423,13
2,0.9766677220662435,13
3,0.9562816137359256,13
4,0.933764207930792,13
5,0.9321300557681492,13
6,0.9256728745642162,13
7,0.9137990673383077,13
8,0.8972137087867373,13
9,0.8845262328783671,13
10,0.867126777058556,13
11,0.8330043015025911,13
0,0.987283448378245,14
1,0.9849380850791931,14
2,0.9612229665120443,14
3,0.9314401825269063,14
4,0.9073065519332886,14
5,0.9026965181032817,14
6,0.8919037540753683,14
7,0.8744641820589701,14
8,0.854388936360677,14
9,0.8284754355748495,14
10,0.7894526878992717,14
11,0.7250788430372874,14
0,0.9912523567676544,15
1,0.9867511808872222,15
2,0.9677819907665253,15
3,0.9470763385295868,15
4,0.9312072455883026,15
5,0.9255757093429565,15
6,0.9121268689632416,15
7,0.8873512029647828,15
8,0.8677911341190339,15
9,0.8367461502552033,15
10,0.792900413274765,15
11,0.7462471783161163,15
0,0.986777134736379,16
1,0.9845289309819539,16
2,0.9591302156448365,16
3,0.9328860680262248,16
4,0.9082262635231018,16
5,0.9001330534617106,16
6,0.8908937891324361,16
7,0.8706519961357116,16
8,0.8531553228696187,16
9,0.8270066420237223,16
10,0.7875251332918803,16
11,0.7096163928508759,16
0,0.9890198210875193,17
1,0.9888578255971273,17
2,0.971561590830485,17
3,0.9478382468223572,17
4,0.9250124196211497,17
5,0.9246382514635721,17
6,0.9191200534502665,17
7,0.9060483872890472,17
8,0.889568159977595,17
9,0.8762703537940979,17
10,0.8566112319628397,17
11,0.8156616389751434,17
0,0.9912093579769135,18
1,0.9910005986690521,18
2,0.9816932022571564,18
3,0.9632673680782318,18
4,0.9384991526603699,18
5,0.9371039152145386,18
6,0.9324668884277344,18
7,0.9196783363819122,18
8,0.9033443212509156,18
9,0.8910459280014038,18
10,0.8776736080646514,18
11,0.8544643819332123,18
0,0.9901209950447083,19
1,0.9885867059230804,19
2,0.9757841110229493,19
3,0.9583559572696686,19
4,0.9333127021789551,19
5,0.9293446779251099,19
6,0.9216747999191284,19
7,0.9093882501125335,19
8,0.8925245106220245,19
9,0.8820310294628143,19
10,0.8747101247310638,19
11,0.8511698126792908,19
0,0.9899433334668477,20
1,0.9860082268714905,20
2,0.9633937120437622,20
3,0.940618093808492,20
4,0.9124380151430765,20
5,0.9064917127291362,20
6,0.8957131544748942,20
7,0.8751881758371989,20
8,0.8554750561714173,20
9,0.8301081577936809,20
10,0.7927991151809692,20
11,0.7187301377455394,20
0,0.9883057645389012,21
1,0.9862649057592664,21
2,0.9657984780413764,21
3,0.9394379194293704,21
4,0.9152122161218098,21
5,0.9104271062782833,21
6,0.9008563203471047,21
7,0.8826592905180795,21
8,0.8639100598437446,21
9,0.841039389371872,21
10,0.8081464426858085,21
11,0.7550139597484044,21
0,0.9891710196222577,22
1,0.9884196406319028,22
2,0.9737962172144935,22
3,0.9519225358963013,22
4,0.9307783700170971,22
5,0.9285499623843602,22
6,0.9208506913412184,22
7,0.9079954340344384,22
8,0.8912903098832994,22
9,0.8778622888383412,22
10,0.8615143724850246,22
11,0.8332438128335136,22
0,0.9885150066443852,23
1,0.986308787550245,23
2,0.9670477339199611,23
3,0.9433452848877225,23
4,0.9178094289132527,23
5,0.9126180176224027,23
6,0.9036094397306442,23
7,0.8846339242798942,23
8,0.865938127040863,23
9,0.8426434759582792,23
10,0.8117557040282658,23
11,0.7498597311122077,23
0,0.9883357319566939,24
1,0.9860891103744507,24
2,0.9657347682449553,24
3,0.9415437695052888,24
4,0.9176184866163466,24
5,0.9131896744171778,24
6,0.9039677381515503,24
7,0.8887307627333535,24
8,0.8703193234072791,24
9,0.8500214533673393,24
10,0.8200290782584084,24
11,0.7558916740947299,24
0,0.9890236953894297,25
1,0.9895784854888916,25
2,0.9732995927333832,25
3,0.9498366415500641,25
4,0.9211818873882294,25
5,0.9234323799610138,25
6,0.9220474263032278,25
7,0.9142516255378723,25
8,0.899858276049296,25
9,0.8925963640213013,25
10,0.8800939420859019,25
11,0.8126880725224813,25
0,0.986777134736379,26
1,0.9845289389292399,26
2,0.9591302434603374,26
3,0.9328860600789388,26
4,0.9082262436548869,26
5,0.9001330534617106,26
6,0.8908937732378642,26
7,0.8706520199775696,26
8,0.8531552990277608,26
9,0.8270066221555074,26
10,0.7875251332918803,26
11,0.7096163888772329,26
0,0.9894557476043702,27
1,0.9858534932136536,27
2,0.9643506884574891,27
3,0.9394179344177246,27
4,0.920025376478831,27
5,0.9136361638704936,27
6,0.9006680130958558,27
7,0.8823060353597005,27
8,0.861799152692159,27
9,0.8349625070889791,27
10,0.792290453116099,27
11,0.7319856425126393,27
0,0.988550915604546,28
1,0.9860422270638602,28
2,0.9649451942670912,28
3,0.941629599957239,28
4,0.91459573166711,28
5,0.9077613410495576,28
6,0.8984824901535398,28
7,0.8770819732121059,28
8,0.8589149060703459,28
9,0.8340327313968113,28
10,0.801492520741054,28
11,0.7380357356298537,28
0,0.98807426293691,29
1,0.9852617661158244,29
2,0.9617812514305115,29
3,0.9354907353719075,29
4,0.9128366470336914,29
5,0.9040655096371969,29
6,0.8921620368957519,29
7,0.8689364075660706,29
8,0.8494890888532003,29
9,0.8209158778190613,29
10,0.779556667804718,29
11,0.7166697899500529,29
0,0.9887505014737447,30
1,0.9878903110822042,30
2,0.9735693534215292,30
3,0.953994341691335,30
4,0.9313514947891235,30
5,0.9293233275413513,30
6,0.9232554793357849,30
7,0.9107182780901592,30
8,0.894360077381134,30
9,0.8801804224650065,30
10,0.8678106427192688,30
11,0.8277104338010152,30
0,0.9891719335601443,31
1,0.9867318953786578,31
2,0.9652468704041981,31
3,0.9374314291136605,31
4,0.9119191396804083,31
5,0.9079128078051976,31
6,0.8984302963529315,31
7,0.8798819070770627,31
8,0.8603516306195941,31
9,0.8361850409280687,31
10,0.7992102929524013,31
11,0.7434127628803253,31
0,0.9890568971633911,32
1,0.9848120093345643,32
2,0.9603040158748627,32
3,0.9313637137413024,32
4,0.9114495575428009,32
5,0.9051771640777588,32
6,0.8896181225776673,32
7,0.8689683496952056,32
8,0.846868371963501,32
9,0.8157960057258606,32
10,0.7652501881122589,32
11,0.696102061867714,32
0,0.9897095071417945,33
1,0.9887776566403252,33
2,0.9764437420027596,33
3,0.9590285143681935,33
4,0.9357671099049705,33
5,0.9326316054378238,33
6,0.9262968599796295,33
7,0.9133476572377341,33
8,0.8970553278923035,33
9,0.8840099956308093,33
10,0.8711082105125699,33
11,0.8316268814461572,33
