layer,G
0,0.990110719203949
1,0.9877658155229356
2,0.9783017595609029
3,0.9642673254013061
4,0.9578541994094849
5,0.9478959639867147
6,0.945801113711463
7,0.939293258719974
8,0.9312324259016249
9,0.9110539727740817
10,0.8860097103648715
11,0.8485070361031426
