,method_a,method_b,mean_nll_gap,boot_ci_low,boot_ci_high,perm_p_value,sign_test_p_value,wins_a,wins_b
0,linear,normal,-0.07491371780633926,-0.091553695499897,-0.058006104081869125,0.0,0.00390625,0,9
1,linear,pca,0.30822816491127014,-0.03885043039917946,0.6936900019645691,0.12600000202655792,0.8641662404406816,18,16
2,linear,random,-0.07721379399299622,-0.09233216196298599,-0.061525437980890274,0.0,0.001953125,0,10
3,normal,pca,0.3831419050693512,0.040847230702638626,0.7589127421379089,0.04800000041723251,0.043285250663757324,18,7
4,normal,random,-0.0023000731598585844,-0.015461697243154049,0.012798485346138477,0.7490000128746033,1.0,0,1
5,pca,random,-0.38544192910194397,-0.759327232837677,-0.04040781036019325,0.052000001072883606,0.022655844688415527,6,18
