layer,G,boot_id
0,0.9902769582612174,0
1,0.9879240705853417,0
2,0.9788578606787182,0
3,0.965028200830732,0
4,0.9582580214455014,0
5,0.9468459827559335,0
6,0.9442221039817447,0
7,0.9371353841963268,0
8,0.9283794562021891,0
9,0.9087674788066319,0
10,0.882755614462353,0
11,0.8518477990513756,0
0,0.9885434110959371,1
1,0.9865115284919739,1
2,0.973344882329305,1
3,0.9563706517219543,1
4,0.9490383764108022,1
5,0.9362661341826121,1
6,0.9318408866723379,1
7,0.9247322976589203,1
8,0.9133138656616211,1
9,0.888070821762085,1
10,0.8523449301719666,1
11,0.8048887948195139,1
0,0.9908932873180935,2
1,0.9881864956447056,2
2,0.9782488743464152,2
3,0.9643454182715643,2
4,0.9573870954059419,2
5,0.9466569679124015,2
6,0.9442971575827825,2
7,0.9369632005691528,2
8,0.9277617675917489,2
9,0.9079522745949882,2
10,0.881893013204847,2
11,0.8442180923053196,2
0,0.9905107855796814,3
1,0.9885264873504639,3
2,0.9796131332715352,3
3,0.9663063208262126,3
4,0.9603309273719788,3
5,0.9512284755706787,3
6,0.9500817735989888,3
7,0.94274529616038,3
8,0.9344422459602356,3
9,0.9146098017692565,3
10,0.8926242311795552,3
11,0.8616925756136576,3
0,0.990673569838206,4
1,0.9880871653556824,4
2,0.9774221460024516,4
3,0.9626192013422649,4
4,0.9558205644289652,4
5,0.9452900250752767,4
6,0.9436525305112203,4
7,0.9364307562510172,4
8,0.9262434681256612,4
9,0.9024730046590169,4
10,0.8753528038660685,4
11,0.8414757410685222,4
0,0.9904009540875752,5
1,0.9880781849225362,5
2,0.9796063979466756,5
3,0.9648229479789734,5
4,0.9590140461921692,5
5,0.9483548959096273,5
6,0.9451855301856995,5
7,0.9395393411318461,5
8,0.9322128097216288,5
9,0.9127856373786927,5
10,0.8927400549252827,5
11,0.8518771171569824,5
0,0.9908079465230306,6
1,0.987614099184672,6
2,0.9779136459032695,6
3,0.9636857310930887,6
4,0.9584224979082744,6
5,0.9467888514200846,6
6,0.9433197617530823,6
7,0.9376808285713196,6
8,0.9283818562825521,6
9,0.9090439995129903,6
10,0.880569060643514,6
11,0.8376017769177755,6
0,0.9893257703099932,7
1,0.9873531659444174,7
2,0.9780538990384057,7
3,0.9644280473391215,7
4,0.959136236281622,7
5,0.9502640253021604,7
6,0.9484612345695496,7
7,0.9427087079911005,7
8,0.9358902829033988,7
9,0.9177736838658651,7
10,0.8938216169675192,7
11,0.8603508302143642,7
0,0.9916806399822236,8
1,0.9884793639183045,8
2,0.9776435613632202,8
3,0.9624457597732544,8
4,0.9537124931812286,8
5,0.9416055560112,8
6,0.9384692490100861,8
7,0.9300842106342315,8
8,0.918700498342514,8
9,0.8950080811977387,8
10,0.8646238446235657,8
11,0.8166472256183624,8
0,0.9909731308619182,9
1,0.9878702839215596,9
2,0.9779503186543782,9
3,0.9630000511805217,9
4,0.9555460453033447,9
5,0.9447656551996867,9
6,0.942609163125356,9
7,0.9355229695638021,9
8,0.9270690083503723,9
9,0.9070734024047852,9
10,0.8829627593358358,9
11,0.8430450518925985,9
0,0.9910362107413155,10
1,0.988132235549745,10
2,0.9786390747342791,10
3,0.9635236178125653,10
4,0.956324455283937,10
5,0.9464422095389593,10
6,0.9449195719900585,10
7,0.9382196210679554,10
8,0.9302733171553839,10
9,0.9095787065369743,10
10,0.8879092591149467,10
11,0.8485298355420431,10
0,0.9910537203152975,11
1,0.9884815812110901,11
2,0.9788133842604501,11
3,0.965732699348813,11
4,0.9599471574737912,11
5,0.9517554300171989,11
6,0.9507736989430019,11
7,0.9439688239778791,11
8,0.9360485814866566,11
9,0.9168643412135896,11
10,0.8948465301876977,11
11,0.8586850421769279,11
0,0.9895218248878207,12
1,0.9875476615769523,12
2,0.9781119461570468,12
3,0.964402579835483,12
4,0.9578570872545242,12
5,0.9470934399536678,12
6,0.9449362754821777,12
7,0.9378896760089057,12
8,0.9292413954223905,12
9,0.9082176046712058,12
10,0.8823747741324561,12
11,0.8488835032497134,12
0,0.9892901324090504,13
1,0.9865695663860866,13
2,0.9767444900103978,13
3,0.9616967524800982,13
4,0.95678011292503,13
5,0.9459961340540931,13
6,0.9431737008548918,13
7,0.9378826362746102,13
8,0.9304433663686117,13
9,0.9121506838571458,13
10,0.8861479191553026,13
11,0.8481982123284113,13
0,0.9896241943041484,14
1,0.9871935804684957,14
2,0.9755724589029948,14
3,0.9598518172899883,14
4,0.9537720680236816,14
5,0.9432853937149048,14
6,0.9408998092015585,14
7,0.9347498734792073,14
8,0.9252290924390157,14
9,0.9013180216153462,14
10,0.8719226439793905,14
11,0.8278154293696086,14
0,0.9887256026268005,15
1,0.9865958750247955,15
2,0.9771165132522583,15
3,0.9613914310932159,15
4,0.9550209939479828,15
5,0.9442509353160858,15
6,0.9421736359596252,15
7,0.9364786148071289,15
8,0.9299042761325836,15
9,0.9094148278236389,15
10,0.8841154098510742,15
11,0.8470272421836853,15
0,0.9909035563468933,16
1,0.988421638806661,16
2,0.9782893021901449,16
3,0.9648181597391764,16
4,0.9584406693776448,16
5,0.9500428199768066,16
6,0.9491859753926595,16
7,0.9419921278953552,16
8,0.933758556842804,16
9,0.91425861120224,16
10,0.8923176288604736,16
11,0.8603803356488545,16
0,0.9903215964635214,17
1,0.9876764615376791,17
2,0.9766056736310323,17
3,0.9623397588729858,17
4,0.9542714754740397,17
